index;x;y;z
0;-0.000221;0.001269;0.001266
1;0.000209;0.002001;-0.000003
2;-0.000280;0.000772;0.000973
3;-0.000078;0.001559;0.001456
4;0.000449;0.001687;0.000806
5;-0.000321;0.001816;0.001002
6;0.000459;0.000695;0.000849
7;0.000263;0.000828;0.001410
8;-0.001158;0.000382;0.001211
9;0.001707;0.002878;0.003304
10;0.000009;0.001164;0.002018
11;0.000204;0.001157;0.002384
12;0.000516;0.001119;0.001627
13;0.000323;-0.000156;0.002427
14;-0.001190;0.000306;0.000862
15;0.000535;0.000097;0.001299
16;-0.000287;0.001154;0.001351
17;0.000513;0.002120;0.000253
18;-0.000360;0.001238;0.001225
19;-0.000037;0.001502;0.001292
20;-0.000794;0.001430;0.000181
21;0.000866;0.001631;0.001744
22;0.000022;0.001972;0.001692
23;0.000388;0.000859;0.001742
24;-0.001194;0.001502;0.002589
25;0.001896;0.002173;0.001004
26;0.000935;0.000923;0.002380
27;0.001209;0.001442;0.000893
28;0.001164;0.001049;0.000671
29;0.000327;0.001020;0.001042
30;-0.000289;0.001636;0.001700
31;0.000711;0.000524;0.002266
32;0.001846;0.001686;0.000873
33;0.000033;0.000424;0.001121
34;0.000389;0.001067;0.002156
35;0.000051;0.000947;0.000583
36;-0.000636;0.001528;0.002062
37;0.001913;0.002289;0.000698
38;0.001357;0.000309;0.002217
39;-0.000240;0.002090;0.000579
40;0.001313;-0.002147;-0.000333
41;-0.000209;0.001620;0.001222
42;-0.000372;0.000159;0.000330
43;0.000952;0.001715;0.001007
44;-0.000241;0.002816;-0.000304
45;-0.000316;0.001595;0.000819
46;0.000242;0.001459;0.001046
47;0.001015;0.000773;0.001293
48;0.000621;0.001857;0.001343
49;0.000387;0.000944;0.001407
50;0.000412;0.001601;0.001325
51;0.001111;0.001724;0.000682
52;0.000211;0.001726;0.002339
53;0.001005;0.001042;0.001064
54;0.004049;0.000571;0.005867
55;0.013147;-0.072796;0.077837
56;-0.087972;-0.245999;0.269302
57;0.041467;-0.022750;0.401829
58;0.020894;-0.150885;0.494783
59;0.003572;-0.361548;0.331121
60;-0.000086;-0.498296;0.163089
61;0.104809;-0.312712;-0.109221
